,event,gender,age,industry,profession,traffic,coach,head_gender,greywage,way,extraversion,independ,selfcontrol,anxiety,novator,years_tenure
29,1,f,35.0, HoReCa,HR,empjs,my head,f,white,bus,1.4,8.4,8.0,4.8,6.0,0.27104722791666663
30,1,f,21.0,Telecom,Sales,rabrecNErab,yes,f,white,bus,8.6,4.1,4.9,5.6,6.0,1.2156057491666667
31,1,m,35.0,etc,Sales,youjs,no,m,white,car,4.6,3.4,4.1,8.7,4.4,1.4099931550000002
32,1,f,25.0,etc,etc,referal,my head,f,white,bus,3.8,6.9,6.4,7.1,7.5,2.3463381241666665
33,1,f,30.40033257,Retail,HR,youjs,no,m,white,bus,7.0,6.2,4.1,2.5,6.7,5.07871321
34,1,f,29.0,Consult,HR,rabrecNErab,no,f,white,bus,7.0,6.2,4.1,4.0,9.0,7.3073237508333335
35,1,f,22.0,Pharma,HR,rabrecNErab,no,m,white,bus,3.0,4.1,8.7,7.1,6.0,3.622176591666667
36,1,f,34.0,Retail,HR,KA,no,m,white,car,5.4,5.5,4.9,4.8,4.4,1.894592745
37,1,f,34.0,Retail,HR,KA,no,m,white,car,6.2,6.2,4.9,3.3,2.9,1.894592745
38,1,f,34.0,Retail,HR,KA,no,m,white,car,5.4,5.5,4.9,4.8,4.4,1.894592745
39,1,f,34.0,Retail,HR,KA,no,m,white,car,6.2,6.2,4.9,3.3,2.9,1.894592745
40,1,f,21.0,etc,HR,empjs,no,f,white,bus,5.4,7.6,4.9,3.3,2.1,1.0896646133333332
41,1,f,22.0,etc,HR,youjs,yes,f,grey,car,7.0,4.8,6.4,4.0,4.4,0.6324435318333334
42,1,f,32.0,Retail,HR,youjs,no,m,white,car,3.0,7.6,7.2,4.8,2.9,3.019849418333333
43,1,f,36.0,Pharma,etc,empjs,no,f,white,car,4.6,7.6,5.7,5.6,8.3,1.5906913075
44,1,f,30.0,Banks,HR,youjs,no,m,white,bus,6.2,3.4,8.0,3.3,3.7,0.3641341546666667
45,1,f,32.0,Retail,HR,rabrecNErab,my head,m,white,bus,3.8,6.2,8.0,4.0,6.0,6.74880219
46,1,f,33.0,Retail,HR,empjs,no,m,white,car,7.0,4.8,4.1,7.1,8.3,0.758384668
47,1,f,49.0,State,BusinessDevelopment,empjs,my head,f,white,bus,4.6,6.2,4.9,5.6,6.7,3.077344285
48,1,f,29.0,Retail,HR,empjs,yes,m,white,bus,7.8,5.5,5.7,4.0,5.2,0.33127994525
49,1,f,29.0,Retail,HR,empjs,yes,m,white,bus,6.2,6.2,5.7,6.3,2.9,0.33127994525
50,1,f,29.0,Retail,HR,empjs,yes,m,white,bus,7.0,6.2,5.7,4.0,3.7,0.33127994525
51,1,m,36.0,Mining,HR,empjs,no,m,white,foot,4.6,4.8,7.2,6.3,7.5,0.6324435318333334
52,1,f,22.0,State,Teaching,advert,my head,m,white,bus,8.6,4.8,4.9,4.0,6.7,7.9342915808333325
53,1,f,21.0,transport,HR,empjs,yes,f,white,foot,7.8,5.5,2.6,7.1,9.0,3.474332649166667
54,1,f,25.0,Retail,HR,empjs,no,f,white,bus,8.6,6.2,3.3,6.3,6.0,1.2457221083333334
55,1,m,38.0,manufacture,HR,rabrecNErab,no,m,white,car,6.2,3.4,7.2,6.3,3.7,4.227241615
56,1,m,38.0,manufacture,HR,rabrecNErab,no,m,white,car,7.0,5.5,5.7,6.3,6.0,4.227241615
57,1,f,23.0,Consult,HR,empjs,yes,f,white,bus,10.0,4.8,4.1,5.6,8.3,2.9404517450000003
58,1,f,23.0,Consult,HR,empjs,yes,f,white,bus,8.6,4.8,4.1,6.3,9.0,2.9404517450000003
59,1,m,38.0,Banks,BusinessDevelopment,recNErab,no,m,white,car,8.6,3.4,6.4,4.0,6.0,2.9952087608333335
60,1,f,24.0,Retail,HR,youjs,no,f,white,foot,6.2,7.6,3.3,3.3,6.7,1.2977412733333333
61,1,f,24.0,Retail,HR,youjs,no,f,white,foot,6.2,7.6,3.3,3.3,6.7,1.2977412733333333
62,1,f,36.0,manufacture,HR,rabrecNErab,my head,m,white,car,4.6,4.1,8.0,5.6,6.0,4.413415469166667
63,1,f,21.0,State,Sales,advert,my head,m,grey,bus,4.6,5.5,7.2,3.3,5.2,0.6516084873333333
64,1,f,29.0,Telecom,HR,rabrecNErab,my head,f,white,foot,3.8,6.9,6.4,5.6,8.3,6.819986310833333
65,1,f,29.0,Banks,HR,empjs,my head,f,white,bus,7.0,6.2,4.1,4.0,4.4,4.643394935
66,1,f,26.0,manufacture,HR,referal,no,f,white,car,3.8,4.8,5.7,7.9,2.9,0.3613963039166666
67,1,m,36.0,etc,manage,rabrecNErab,my head,m,white,car,6.2,4.1,6.4,6.3,5.2,1.5797399041666667
68,1,m,36.0,etc,manage,rabrecNErab,my head,m,white,car,8.6,2.6,7.2,4.8,4.4,1.5797399041666667
69,1,f,30.40033257,State,Teaching,recNErab,no,m,white,foot,4.6,9.1,4.1,4.0,6.0,4.484599589166667
70,1,f,22.0,State,HR,referal,my head,f,white,bus,6.2,5.5,3.3,6.3,6.7,7.542778918333333
71,1,m,29.0,Banks,Marketing,rabrecNErab,no,f,white,bus,6.2,4.8,6.4,5.6,5.2,3.3812457224999997
72,1,f,23.0,State,Teaching,advert,no,f,white,bus,7.0,5.5,3.3,6.3,5.2,4.958247775833333
73,1,m,22.0,manufacture,manage,advert,no,f,white,foot,7.8,5.5,1.0,9.4,9.0,0.5503080082499999
74,1,f,36.0,etc,HR,rabrecNErab,no,m,white,bus,7.8,4.8,4.9,5.6,9.0,3.7316906225
75,1,m,27.0,State,Teaching,rabrecNErab,no,f,white,bus,6.2,5.5,6.4,4.0,4.4,0.55578370975
76,0,f,34.0,Retail,HR,empjs,no,f,white,car,8.6,5.5,4.1,5.6,6.7,1.3086926758333333
77,0,f,34.0,Retail,HR,empjs,no,f,white,car,8.6,3.4,4.1,7.1,6.0,1.3086926758333333
78,0,f,34.0,Retail,HR,empjs,no,f,white,car,7.8,4.1,4.1,7.1,6.7,1.3086926758333333
79,1,f,25.0,Banks,HR,recNErab,no,f,white,bus,5.4,4.8,7.2,5.6,5.2,4.933607118333334
80,1,f,25.0,Banks,HR,recNErab,no,f,white,bus,4.6,4.1,8.7,5.6,2.1,4.933607118333334
81,1,f,24.0,Consult,HR,rabrecNErab,no,f,white,bus,5.4,6.9,4.9,4.0,6.7,1.4483230666666669
82,1,f,27.0,Retail,etc,referal,yes,m,white,bus,5.4,6.9,2.6,5.6,8.3,3.238877480833333
83,1,f,34.0,Banks,BusinessDevelopment,KA,my head,m,white,car,7.0,6.2,7.2,2.5,5.2,0.6625598905
84,1,f,34.0,Banks,BusinessDevelopment,KA,my head,m,white,car,8.6,6.9,5.7,3.3,4.4,0.6625598905
85,1,f,24.0,IT,HR,KA,no,f,white,bus,6.2,4.8,7.2,4.0,6.7,8.0438056125
86,1,f,23.0,State,Teaching,referal,yes,f,white,bus,3.8,6.9,8.0,1.7,2.1,7.211498973333334
87,1,f,38.0,Telecom,HR,youjs,no,m,white,car,4.6,5.5,7.2,6.3,7.5,4.405201916666667
88,1,f,25.0,Banks,HR,empjs,no,m,white,bus,6.2,6.2,5.7,5.6,7.5,1.4647501708333335
89,1,f,25.0,Banks,HR,empjs,no,m,white,bus,6.2,7.6,4.1,4.8,9.0,1.4647501708333335
90,1,f,28.0,manufacture,HR,youjs,my head,m,white,bus,6.2,4.8,4.1,4.0,6.7,2.088980150833333
91,1,f,29.0,manufacture,HR,rabrecNErab,my head,f,white,car,7.0,5.5,1.8,6.3,6.0,7.23613963
92,1,m,26.0,etc,Commercial,rabrecNErab,no,m,white,car,6.2,4.1,4.9,6.3,2.9,1.0924024641666665
93,1,m,21.0,etc,Marketing,referal,no,m,white,bus,4.6,6.9,4.1,5.6,6.0,2.1820670774999997
94,1,f,25.0,Consult,HR,youjs,my head,f,white,bus,5.4,6.9,5.7,3.3,2.9,0.8021902806666666
95,1,f,25.0,Consult,HR,youjs,my head,f,white,bus,5.4,6.9,5.7,3.3,2.9,0.8240930869166666
96,1,f,24.0,Consult,HR,youjs,no,f,white,bus,4.6,6.9,5.7,5.6,2.9,0.27926078025
97,1,f,31.0,State,HR,rabrecNErab,no,m,grey,bus,2.2,1.0,8.0,8.7,3.7,1.2758384666666667
98,1,f,45.0,Retail,HR,empjs,no,f,white,bus,3.0,5.5,10.0,6.3,2.9,6.672142368333334
99,1,f,21.0,etc,etc,rabrecNErab,my head,f,white,bus,7.0,6.9,5.7,4.0,5.2,1.3990417524999998
100,1,f,22.0,etc,HR,youjs,my head,f,white,bus,5.4,6.2,4.1,8.7,8.3,1.6208076658333335
101,1,f,37.0,Mining,Commercial,KA,yes,m,white,bus,3.8,7.6,4.9,7.1,9.0,0.7529089665
102,1,f,32.0,etc,HR,empjs,my head,m,white,bus,7.8,6.2,3.3,4.0,8.3,1.5414099933333334
103,1,f,37.0,manufacture,HR,rabrecNErab,my head,m,white,bus,7.0,4.8,5.7,6.3,8.3,4.432580424166667
104,1,f,30.0,Retail,HR,KA,no,f,white,bus,6.2,6.2,5.7,5.6,8.3,3.54825462
105,1,f,37.0,transport,HR,youjs,no,m,white,bus,6.2,5.5,5.7,6.3,9.0,1.971252566666667
106,1,f,22.0,Pharma,HR,rabrecNErab,no,m,white,bus,3.8,1.9,8.7,6.3,4.4,3.441478439166667
107,1,f,22.0,Pharma,HR,rabrecNErab,no,m,white,bus,5.4,2.6,8.0,7.1,5.2,3.441478439166667
108,1,f,22.0,Banks,IT,referal,my head,m,white,bus,4.6,4.8,6.4,7.1,6.0,10.277891858333334
109,1,f,22.0,Banks,IT,referal,my head,m,white,bus,4.6,6.2,6.4,4.0,6.7,10.277891858333334
110,1,m,28.0,Telecom,IT,rabrecNErab,no,m,white,car,8.6,6.2,1.0,5.6,6.7,1.0978781658333332
111,1,m,28.0,Telecom,IT,rabrecNErab,no,m,white,car,7.0,6.2,2.6,5.6,8.3,1.0978781658333332
112,1,m,25.0,manufacture,HR,empjs,my head,f,white,car,6.2,5.5,5.7,5.6,4.4,1.2375085558333334
113,1,f,23.0,Building,Marketing,rabrecNErab,my head,f,white,bus,3.8,7.6,7.2,2.5,4.4,2.0205338808333333
114,1,m,25.0,Building,HR,youjs,yes,f,white,bus,7.0,4.8,4.9,5.6,6.0,1.00752909
115,1,f,26.0,Banks,HR,youjs,no,f,white,bus,4.6,6.2,5.7,4.0,6.0,0.9582477758333333
116,1,f,26.0,Banks,HR,youjs,no,f,white,bus,4.6,5.5,6.4,5.6,5.2,0.9582477758333333
117,1,m,30.0,Retail,Sales,youjs,no,m,white,car,7.0,4.8,1.8,8.7,6.7,2.2806297058333334
118,1,m,38.0,IT,IT,referal,no,m,white,car,6.2,4.1,1.8,8.7,8.3,1.2950034225
119,1,f,37.0,State,Marketing,recNErab,no,f,white,foot,9.4,4.1,4.9,4.0,8.3,0.41341546883333335
120,1,f,26.0,Agriculture,Law,rabrecNErab,no,m,grey,bus,5.4,4.8,8.7,5.6,2.9,1.6509240250000001
121,1,f,27.0,Banks,HR,youjs,no,f,white,car,3.8,4.8,9.5,6.3,3.7,8.616016425
122,1,f,29.0,Retail,etc,empjs,no,m,white,bus,7.8,5.5,5.7,4.0,5.2,0.33127994525
123,1,f,29.0,Retail,etc,empjs,no,m,white,bus,6.2,6.2,5.7,6.3,2.9,0.33127994525
124,1,f,29.0,Retail,etc,empjs,no,m,white,bus,7.0,6.2,5.7,4.0,3.7,0.33127994525
125,1,f,26.0,manufacture,HR,rabrecNErab,no,m,white,bus,3.8,5.5,8.7,3.3,3.7,5.911019849166667
126,1,f,26.0,manufacture,HR,rabrecNErab,no,m,white,bus,3.0,6.9,6.4,3.3,2.9,5.911019849166667
127,1,f,49.0,manufacture,HR,empjs,my head,m,white,bus,6.2,8.4,3.3,3.3,6.0,4.328542094166667
128,1,m,21.0,Banks,HR,recNErab,yes,f,white,foot,7.8,6.2,2.6,5.6,9.0,3.2306639291666666
129,1,m,21.0,Banks,HR,recNErab,yes,f,white,foot,7.0,3.4,3.3,7.1,8.3,3.2306639291666666
130,1,m,26.0,Mining,HR,empjs,yes,f,white,car,4.6,3.4,8.7,7.9,7.5,2.9130732375000004
131,1,f,22.0,etc,Marketing,rabrecNErab,no,f,grey,car,5.4,6.9,6.4,4.0,4.4,4.114989733333333
132,1,m,51.0,Retail,etc,referal,no,m,white,car,3.0,5.5,9.5,5.6,5.2,2.138261465
133,1,f,28.0,manufacture,Finanñe,rabrecNErab,no,m,white,car,7.8,3.4,6.4,4.0,4.4,4.227241615
134,1,m,52.0,Consult,Consult,rabrecNErab,no,m,white,foot,3.0,9.1,4.9,6.3,6.7,1.8398357291666667
135,1,f,43.0,Pharma,HR,youjs,my head,f,white,car,4.6,5.5,3.3,7.9,7.5,0.922655715
136,1,f,44.0,manufacture,HR,rabrecNErab,no,m,grey,car,7.0,6.9,4.9,3.3,6.0,4.2162902125
137,1,f,45.0,manufacture,Engineer,rabrecNErab,my head,f,white,bus,3.8,4.1,7.2,5.6,3.7,1.4510609175000002
138,1,f,27.0,Building,HR,rabrecNErab,no,f,white,bus,3.8,9.8,4.1,4.0,9.0,2.034223135
139,1,f,26.0,Retail,HR,youjs,my head,f,white,bus,7.0,5.5,4.1,4.8,7.5,1.9904175224999998
140,1,f,25.0,manufacture,HR,advert,yes,f,white,car,9.4,3.4,1.8,8.7,7.5,1.67008898
141,1,f,19.0,Banks,HR,advert,yes,m,white,foot,7.0,3.4,5.7,7.9,6.7,12.583162216666667
142,1,f,31.0,etc,HR,rabrecNErab,no,m,white,bus,9.4,3.4,1.0,8.7,9.8,0.8980150583333333
143,1,f,31.0,Banks,HR,rabrecNErab,no,f,grey,bus,3.8,4.1,7.2,8.7,2.1,6.5571526350000005
144,1,f,31.0,Banks,HR,rabrecNErab,no,f,grey,bus,3.8,4.1,7.2,8.7,2.1,6.5571526350000005
145,1,f,31.0,RealEstate,HR,referal,my head,f,white,bus,6.2,4.8,8.7,6.3,5.2,6.765229295
146,1,f,30.40033257,etc,HR,youjs,no,f,white,bus,6.2,4.1,6.4,6.3,1.0,1.1170431208333333
147,1,f,30.40033257,etc,HR,youjs,no,f,white,bus,7.0,6.9,4.1,6.3,3.7,1.1170431208333333
148,1,f,18.0,Retail,HR,advert,no,f,white,bus,6.2,5.5,6.4,4.8,5.2,11.871321016666665
149,1,m,33.0,IT,Consult,youjs,yes,m,white,car,3.0,10.0,5.7,6.3,8.3,0.9117043125
150,1,f,36.0,Retail,Sales,youjs,no,m,white,bus,5.4,4.8,4.9,4.8,6.0,1.0047912391666667
151,1,f,31.0,etc,HR,empjs,my head,m,white,car,3.0,5.5,7.2,5.6,6.0,4.5065023958333335
152,1,f,45.0,IT,HR,rabrecNErab,no,m,white,car,7.8,4.8,4.1,4.0,6.0,0.47091033541666666
153,1,f,29.0,Retail,HR,empjs,my head,f,white,car,8.6,6.9,4.9,3.3,6.0,1.6536618758333335
154,1,m,23.0,Banks,HR,rabrecNErab,no,f,white,bus,5.4,5.5,5.7,8.7,5.2,6.655715263333334
155,1,f,27.0,Retail,HR,rabrecNErab,my head,f,white,car,6.2,4.8,6.4,6.3,2.9,0.7310061601666668
156,1,f,22.0,Retail,Sales,youjs,yes,m,grey,bus,8.6,4.1,4.9,4.8,5.2,1.59890486
157,1,m,47.0,manufacture,Commercial,empjs,no,m,grey,bus,3.8,1.9,8.7,8.7,2.1,0.6324435318333334
158,1,m,47.0,manufacture,Commercial,empjs,no,m,grey,bus,4.6,4.1,5.7,9.4,3.7,0.6324435318333334
159,1,m,47.0,manufacture,Commercial,empjs,no,m,grey,bus,3.0,5.5,4.9,9.4,4.4,0.6324435318333334
160,1,f,30.40033257,Consult,HR,youjs,no,m,white,bus,7.8,5.5,4.9,7.1,6.0,0.90349076
161,1,f,28.0,transport,HR,rabrecNErab,my head,f,white,car,4.6,6.9,4.9,4.0,6.0,4.257357974166667
162,0,f,43.0,manufacture,HR,rabrecNErab,my head,m,white,bus,4.6,7.6,4.9,5.6,6.0,10.672142366666668
163,1,m,26.0,Consult,Consult,referal,no,f,white,bus,8.6,5.5,4.1,7.1,6.7,2.3627652291666665
164,1,f,31.0,Retail,Sales,KA,no,f,grey,bus,5.4,5.5,7.2,4.8,1.3,0.37782340858333335
165,1,m,24.0,Retail,HR,empjs,my head,f,grey,bus,4.6,7.6,6.4,4.8,6.7,1.4948665300000001
166,1,f,27.0,Building,HR,rabrecNErab,no,f,white,bus,3.8,9.8,4.1,4.0,9.0,1.9548254616666665
167,1,m,35.0,Retail,HR,rabrecNErab,no,m,white,car,6.2,5.5,5.7,4.0,2.9,1.3524982891666666
168,1,m,35.0,Retail,HR,rabrecNErab,no,m,white,car,7.0,4.8,2.6,5.6,6.0,1.3524982891666666
169,1,f,31.0,PowerGeneration,HR,youjs,my head,f,white,car,5.4,4.1,6.4,4.8,4.4,5.941136208333333
170,1,m,23.0,IT,HR,empjs,no,f,white,bus,7.0,4.1,6.4,4.8,5.2,0.79397672825
171,1,f,40.0,Banks,Sales,advert,my head,f,white,car,5.4,4.1,4.9,6.3,7.5,1.4182067075000002
172,1,f,31.0,IT,HR,KA,no,m,white,bus,5.4,6.9,3.3,4.0,8.3,10.915811091666667
173,1,f,37.0,etc,HR,youjs,yes,f,white,bus,6.2,6.2,6.4,5.6,5.2,3.0910335383333334
174,1,f,24.0,IT,HR,youjs,yes,f,white,bus,8.6,4.1,4.9,3.3,6.0,0.035592060249999995
175,1,f,23.0,Building,HR,empjs,no,f,grey,bus,5.4,8.4,4.1,4.8,6.0,1.0732375083333332
176,1,f,23.0,Building,HR,empjs,no,f,grey,bus,7.8,5.5,4.1,4.8,5.2,1.0732375083333332
177,1,f,46.0,RealEstate,HR,rabrecNErab,no,m,white,car,4.6,7.6,6.4,4.0,6.0,0.67898699525
178,1,f,23.0,Consult,Marketing,youjs,yes,f,white,bus,6.2,4.8,5.7,3.3,3.7,0.6105407255
179,1,f,40.0,IT,HR,empjs,yes,m,white,bus,3.0,8.4,7.2,4.8,8.3,1.4948665300000001
180,1,m,39.0,manufacture,Engineer,recNErab,no,m,white,car,3.8,4.8,5.7,7.9,3.7,1.2183435999999999
181,1,f,28.0,Retail,HR,youjs,no,f,white,car,3.0,5.5,6.4,5.6,3.7,1.3333333333333333
182,1,m,40.0,etc,HR,empjs,yes,m,white,car,5.4,3.4,5.7,7.9,9.8,2.7049965774999998
183,1,m,33.0,Retail,Finanñe,rabrecNErab,no,f,white,bus,2.2,6.2,6.4,6.3,5.2,6.124572210833333
184,1,m,33.0,Retail,Finanñe,rabrecNErab,no,f,white,bus,3.8,4.1,8.0,6.3,4.4,6.124572210833333
185,1,f,24.0,Banks,HR,referal,no,f,white,foot,7.8,6.2,4.9,1.7,3.7,0.9856262833333335
186,1,f,38.0,Retail,HR,rabrecNErab,no,m,white,bus,6.2,4.1,4.9,5.6,6.7,3.8631074608333336
187,1,m,35.0,manufacture,BusinessDevelopment,rabrecNErab,no,m,white,car,5.4,4.8,4.1,7.9,7.5,4.3750855575
188,1,f,33.0,manufacture,HR,referal,my head,m,white,car,4.6,4.8,7.2,7.9,6.0,1.2484599591666667
189,1,f,36.0,etc,HR,empjs,no,m,white,foot,3.0,6.9,6.4,4.8,6.0,2.184804928333333
190,1,f,36.0,etc,HR,empjs,no,m,white,foot,2.2,6.9,8.0,6.3,3.7,2.184804928333333
191,1,f,36.0,etc,HR,empjs,no,m,white,foot,3.0,6.9,7.2,4.8,5.2,2.184804928333333
192,1,f,22.0,etc,HR,youjs,yes,f,white,bus,9.4,4.1,4.1,4.8,9.0,2.422997946666667
193,1,f,38.0,manufacture,HR,rabrecNErab,no,m,white,bus,7.8,2.6,5.7,7.1,5.2,2.7816563999999997
194,1,f,23.0,Banks,HR,rabrecNErab,yes,f,white,bus,4.6,6.9,7.2,5.6,4.4,0.4873374400833334
195,1,f,23.0,Banks,HR,rabrecNErab,yes,f,white,bus,6.2,4.8,4.9,4.8,3.7,0.4873374400833334
196,1,f,24.0,etc,Sales,rabrecNErab,my head,f,white,bus,6.2,5.5,5.7,3.3,2.1,6.4613278575
197,1,m,26.0,Retail,Sales,recNErab,no,m,white,car,3.0,5.5,5.7,7.1,6.7,13.856262833333334
198,1,f,33.0,etc,etc,advert,no,m,white,bus,5.4,1.0,9.5,9.4,5.2,8.930869266666667
199,1,f,40.0,Banks,HR,empjs,yes,f,grey,bus,6.2,3.4,8.0,3.3,3.7,1.6208076658333335
200,1,f,23.0,manufacture,manage,KA,no,f,white,car,3.8,4.1,8.7,4.0,2.9,0.7200547569999999
201,1,f,27.0,Retail,HR,youjs,no,m,white,car,8.6,4.8,7.2,4.0,3.7,1.1389459275
202,1,f,24.0,PowerGeneration,Sales,empjs,my head,f,white,bus,5.4,6.2,4.1,6.3,9.8,0.5229295003333333
203,1,f,30.0,Banks,HR,rabrecNErab,no,f,white,car,5.4,7.6,2.6,5.6,6.0,1.9329226558333332
204,1,f,37.0,Pharma,etc,empjs,no,f,white,car,4.6,7.6,5.7,5.6,8.3,1.3607118408333332
205,1,f,31.0,manufacture,HR,rabrecNErab,no,m,grey,bus,3.0,7.6,4.9,5.6,5.2,2.176591375833333
206,1,f,31.0,Retail,HR,KA,no,m,white,bus,3.8,10.0,3.3,3.3,6.7,2.9486652975
207,1,f,23.0,IT,HR,youjs,my head,f,white,bus,1.4,2.6,9.5,8.7,2.1,2.1656399724999997
208,1,f,40.0,Banks,HR,empjs,no,f,white,bus,7.8,5.5,2.6,6.3,8.3,0.2984257358333333
209,1,f,40.0,Banks,HR,empjs,no,f,white,bus,8.6,5.5,3.3,6.3,7.5,0.2984257358333333
210,1,f,40.0,Banks,HR,empjs,no,f,white,bus,7.0,6.9,4.1,5.6,7.5,0.2984257358333333
211,1,f,37.0,etc,Marketing,youjs,no,f,white,bus,4.6,2.6,8.7,4.0,2.9,0.14236824091666667
212,1,f,30.0,Retail,Sales,youjs,no,f,white,bus,4.6,2.6,7.2,6.3,5.2,2.1026694041666665
213,1,f,38.0,State,Teaching,referal,no,f,white,foot,3.0,9.1,4.1,4.8,6.0,1.1581108833333331
214,1,m,32.0,Mining,Law,rabrecNErab,no,f,white,bus,3.0,4.8,4.1,7.1,7.5,5.2594113616666665
215,1,f,34.0,Building,Marketing,referal,no,m,grey,car,9.4,3.4,4.9,3.3,6.0,0.9418206708333333
216,1,f,25.0,manufacture,HR,youjs,my head,f,grey,car,3.0,4.8,7.2,7.9,5.2,0.9746748799999999
217,1,f,25.0,manufacture,HR,youjs,my head,f,grey,car,3.0,5.5,5.7,7.1,5.2,0.9746748799999999
218,0,m,33.0,Retail,HR,empjs,my head,f,white,car,4.6,6.2,8.0,7.1,5.2,2.5188227241666667
219,0,m,33.0,Retail,HR,empjs,my head,f,white,car,5.4,7.6,5.7,7.1,6.0,2.5188227241666667
220,0,m,33.0,Retail,HR,rabrecNErab,my head,m,white,car,3.0,4.1,8.0,7.1,3.7,3.1676933608333333
221,1,m,37.0,manufacture,manage,rabrecNErab,no,m,grey,bus,3.8,4.8,4.9,7.1,6.7,1.8015058183333332
222,1,f,31.0,manufacture,HR,rabrecNErab,my head,f,white,bus,6.2,4.8,4.1,4.8,5.2,3.255304585833333
223,0,f,30.0,RealEstate,BusinessDevelopment,referal,my head,m,white,foot,5.4,6.9,2.6,5.6,8.3,11.578370975
224,1,m,26.0,manufacture,Engineer,referal,my head,m,white,bus,4.6,5.5,8.7,5.6,1.3,1.971252566666667
225,1,m,33.0,Banks,etc,youjs,no,m,white,car,6.2,4.1,3.3,8.7,9.8,1.7138945925
226,0,f,25.0,Retail,HR,youjs,no,m,grey,car,6.2,3.4,6.4,6.3,7.5,7.843942505
227,0,f,32.0,etc,Marketing,rabrecNErab,my head,m,white,foot,5.4,5.5,3.3,7.9,8.3,0.17522245041666665
228,0,f,36.0,Retail,HR,KA,no,m,white,car,6.2,6.2,5.7,4.0,5.2,8.054757015833333
229,0,f,38.0,Building,HR,referal,no,m,white,car,1.4,4.8,5.7,6.3,6.7,2.874743326666667
230,1,f,23.0,Retail,Marketing,advert,my head,f,white,car,3.0,6.2,8.7,4.8,6.0,3.898699520833333
